title,link,abstract
A Translational Science Model for HCI,https://dl.acm.org/doi/10.1145/3290605.3300231,"
Using scientific discoveries to inform design practice is an important, but difficult, objective in HCI. In this paper, we provide an overview of Translational Science in HCI by triangulating literature related to the research-practice gap with interview data from many parties engaged (or not) in translating HCI knowledge. We propose a model for Translational Science in HCI based on the concept of a continuum to describe how knowledge progresses (or stalls) through multiple steps and translations until it can influence design practice. The model offers a conceptual framework that can be used by researchers and practitioners to visualize and describe the progression of HCI knowledge through a sequence of translations. Additionally, the model may facilitate a precise identification of translational barriers, which allows devising more effective strategies to increase the use of scientific findings in design practice. The presence of barriers that hamper the progression of knowledge into design practice is a significant issue within HCI. Therefore, it is necessary to understand how knowledge progresses, or fails to progress, from research to practice. To design the model for Translational Science in HCI, we drew on past work and interview data with researchers, practitioners, and multiple parties who are engaged – or not — in translating HCI knowledge. In our continuum, we describe multiple steps and gaps between basic and applied research, and design practice. We also identify multiple translators and the translational work they do. This model offers insights on how to bridge translational gaps and how to work with and train translators effectively. It also acts as a foundation for future research on Translational Science in HCI.
"
"""They Don't Leave Us Alone Anywhere We Go"": Gender and Digital Abuse in South Asia",https://dl.acm.org/doi/10.1145/3290605.3300232,"
South Asia faces one of the largest gender gaps online globally, and online safety is one of the main barriers to gender-equitable Internet access [GSMA, 2015]. To better understand the gendered risks and coping practices online in South Asia, we present a qualitative study of the online abuse experiences and coping practices of 199 people who identified as women and 6 NGO staff from India, Pakistan, and Bangladesh, using a feminist analysis. We found that a majority of our participants regularly contended with online abuse, experiencing three major abuse types: cyberstalking, impersonation, and personal content leakages. Consequences of abuse included emotional harm, reputation damage, and physical and sexual violence. Participants coped through informal channels rather than through technological protections or law enforcement. Altogether, our findings point to opportunities for designs, policies, and algorithms to improve women's safety online in South Asia. We presented a qualitative study of online safety among 199 cisgender and non-cisgender people who identified as women and 6 NGO staff members, across a diverse socioeconomic spectrum in India, Pakistan, and Bangladesh. We described the types of online abuse that South Asian women encountered and coped with, analyzing their unique sociocultural contexts and technology use-cases, using a feminist lens. We presented three major abuse types experienced by our participants, primarily on social media platforms: (i) cyberstalking, (ii) impersonation, and (iii) personal content leakages. Our results show that online abuse was commonly experienced by our participants (72% experienced at least one abuse type) and created severe consequences such as reputation harm, emotional harm, coercive relations, and physical harm. Our participants had developed informal coping mechanisms to resolve abuse, relying on family and NGOs, rather than seeking formal support from law enforcement or technology platforms. To prevent abuse, participants proactively limited technology use and used creative workarounds, leading to even lower participation online by women in a region with the highest gender gaps online [41]. Given these results, we discussed opportunities, open questions, and challenges for technologists and policy makers to consider in advancing a gender-equitable Internet .
"
Guidelines for Human-AI Interaction,https://dl.acm.org/doi/10.1145/3290605.3300233,"
Advances in artificial intelligence (AI) frame opportunities and challenges for user interface design. Principles for human-AI interaction have been discussed in the human-computer interaction community for over two decades, but more study and innovation are needed in light of advances in AI and the growing uses of AI technologies in human-facing applications. We propose 18 generally applicable design guidelines for human-AI interaction. These guidelines are validated through multiple rounds of evaluation including a user study with 49 design practitioners who tested the guidelines against 20 popular AI-infused products. The results verify the relevance of the guidelines over a spectrum of interaction scenarios and reveal gaps in our knowledge, highlighting opportunities for further research. Based on the evaluations, we believe the set of design guidelines can serve as a resource to practitioners working on the design of applications and features that harness AI technologies, and to researchers interested in the further development of human-AI interaction design principles. We proposed and evaluated 18 generally applicable design guidelines for human-AI interaction. We distilled the guidelines from over 150 AI-related design recommendations and validated them through three rounds of evaluation. We are hopeful that application of these guidelines will result in better, more human-centric AI-infused systems, and that our synthesis can facilitate further research. As the current technology landscape is shifting towards the increasing inclusion of AI in computing applications, we see signifcant value in working to further develop and refne design guidelines for human-AI interaction.
"
Human-Centered Tools for Coping with Imperfect Algorithms During Medical Decision-Making,https://dl.acm.org/doi/10.1145/3290605.3300234,"
Machine learning (ML) is increasingly being used in image retrieval systems for medical decision making. One application of ML is to retrieve visually similar medical images from past patients (e.g. tissue from biopsies) to reference when making a medical decision with a new patient. However, no algorithm can perfectly capture an expert's ideal notion of similarity for every case: an image that is algorithmically determined to be similar may not be medically relevant to a doctor's specific diagnostic needs. In this paper, we identified the needs of pathologists when searching for similar images retrieved using a deep learning algorithm, and developed tools that empower users to cope with the search algorithm on-the-fly, communicating what types of similarity are most important at different moments in time. In two evaluations with pathologists, we found that these tools increased the diagnostic utility of images found and increased user trust in the algorithm. The tools were preferred over a traditional interface, without a loss in diagnostic accuracy. We also observed that users adopted new strategies when using refinement tools, re-purposing them to test and understand the underlying algorithm and to disambiguate ML errors from their own errors. Taken together, these findings inform future human-ML collaborative systems for expert decision-making. In this paper, we found that refinement tools not only increased trust and utility, but were also used for critical decisionmaking purposes beyond guiding an algorithm. Our work brings to light the dual challenges and opportunities of ML: although black-box ML algorithms can be difficult to understand, off-the-shelf image embeddings from DNNs could enable new, lightweight ways of creating interactive refinement and exploration mechanisms. Ultimately, refinement tools gave doctors the agency to hypothesis-test and apply their domain knowledge, while simultaneously leveraging the benefits of automation. Taken together, this work provides implications for how ML-based systems can augment, rather than replace, expert intelligence during critical decision-making, an area that will likely continue to rise in importance in the coming years.
"
Seeing with New Eyes: Designing for In-the-Wild Museum Gifting,https://dl.acm.org/doi/10.1145/3290605.3300235,"
This paper presents the GIFT smartphone app, an artist-led Research through Design project benefitting from a three-day in-the-wild deployment. The app takes as its premise the generative potential of combining the contexts of gifting and museum visits. Visitors explore the museum, searching for objects that would most appeal to the gift-receiver they have in mind, then photographing those objects and adding audio messages for their receivers describing the motivation for their choices. This paper charts the designers' key aim of creating a new frame of mind using voice, and the most striking findings discovered during in-the-wild deployment in a museum -- 'seeing with new eyes' and fostering personal connections. We discuss empathy, motivation, and bottom-up personalisation in the productive space revealed by this combination of contexts. We suggest that this work reveals opportunities for designers of gifting services as well as those working in cultural heritage. Blast Theory’s arts-based app for gifting experiences within museums juxtaposed two very different sets of practices and expectations. Personal memories and connections were evoked in a public space. Participants created and/or received digital gifts made of photos of museum objects taken from anywhere within the physical collection, combined with spoken explanations of their choices, clues of where to find the gifts, messages, and a song. Blast Theory’s design decisions resulted in some confirmations of their hunches and some surprises. However, many participants shared the sentiments of P47: ‘I think it was definitely an interesting way to look at the museum through fresh eyes. And I have been to this museum a lot, over, yes, 27 years, so having a new way to look at it and interact with it was really interesting’. Coming from a Research through Design perspective and benefitting from qualitative feedback from 114 participants, this work can be the starting point for coming to understand arts-based design for gifting activities in mixed contexts: in this case, museum-situated digital gifting practices. We have drawn implications around empathy, motivation, and bottom-up personalisation for design researchers, makers of gifting services, and museum professionals, respectively. The GIFT app raises ideas for future work. Perhaps most pressing for museum professionals is concern over the need for front of house staff to support visitors in overcoming the nervousness that some felt in participating in an unknown type of experience in a public place. Blast Theory knew that this would be a challenge, and the deployment highlighted the extent and specifics of that challenge. We acknowledge these difficulties, but we also see potential advantages in building relationships with visitors seen as relational beings who bring their most treasured memories and relationships with them wherever they go. Museums can build on these powerful relationships and possibly discover ways unique to each institution of fostering personal engagement. We also see potential in experimenting with new means of encouraging receivers to come to the museum to receive their gifts, or of using gifting as a way to frame engagement with a museum’s digital collection or virtual presence, even for visitors who may never see the museum in person. If this app is scaled up as Blast Theory hopes it may be, the GIFT app and other arts-led interventions may ‘change the context in which they operate’ [26, p. 943] and help shape the continuing re-evaluation of the purpose of museums in societies where digital interactions are increasingly the norm and where museums are expected to do ever more outreach with ever fewer resources, year upon year.

"
Design and Plural Heritages: Composing Critical Futures,https://dl.acm.org/doi/10.1145/3290605.3300236,"
We make theoretical and methodological contributions to the CHI community by introducing comparisons between contemporary Critical Heritage research and some forms of experimental design practice. Beginning by identifying three key approaches in contemporary heritage research: Critical Heritage, Plural Heritages and Future Heritage we introduce these in turn, while exploring their significance for thinking about design, knowledge and diversity. We discuss our efforts to apply ideas integrating Critical Heritage and design through the adoption of known Research through Design techniques in a research project in Istanbul, Turkey describing the design of our study and how this was productive of sensory and speculative reflection on the past. Finally, we reflect on the usefulness of such methods in developing new interactive technologies in heritage contexts and go on to propose a series of recommendations for a future Critical Heritage Design practice. We have shown that there is significant shared theoretical background, clearly identifiable common terminology and points of shared theoretical interest, contexts for application and some promising related work between areas of design/HCI practice and contemporary research around Critical Heritage. Our observations from our short cultural probes study underline the applicability of some RtD techniques in exploring a design space for the development of new interactive technologies. Finally, we believe that a much broader range of existing techniques might be productively repurposed to beter contribute to a Critical Heritage design practice.
"
"Connect-to-Connected Worlds: Piloting a Mobile, Data-Driven Reflection Tool for an Open-Ended Simulation at a Museum",https://dl.acm.org/doi/10.1145/3290605.3300237,"
Immersive open-ended museum exhibits promote ludic engagement and can be a powerful draw for visitors, but these qualities may also make learning more challenging. We describe our efforts to help visitors engage more deeply with an interactive exhibit's content by giving them access to visualizations of data skimmed from their use of the exhibit. We report on the motivations and challenges in designing this reflective tool, which positions visitors as a ""human in the loop"" to understand and manage their engagement with the exhibit. We used an iterative design process and qualitative methods to explore how and if visitors could (1) access and (2) comprehend the data visualizations, (3) reflect on their prior engagement with the exhibit, (4)plan their future engagement with the exhibit, and (5) act on their plans. We further discuss the essential design challenges and the opportunities made possible for visitors through data-driven reflection tools. Recorded data of visitor actions could, possibly, serve as a “prosthetic memory” for activities in which visitors were deeply and ludically engaged, helping visitors meld their experiential memories with extra information provided by the logs to support a deeper understanding. In museum contexts, there is an increasing number of digital exhibits which are generating interesting usage data which could promote reflection, but giving visitors feedback in this way is in its infancy. This work shows that data-driven feedback can influence the “stories visitors tell themselves” about an exhibit experience, which is hugely important: the way visitors construct narratives about their museum experiences is known to be a powerful learning mechanism in museums [15, 38], as both conversation and narrative strategies are fundamentally sense-making behaviors [14]. Data-driven feedback helped participants in the Feedback session develop a ""To Each According to Their Needs"" story about their use of Connected Worlds, a story that made direct use of the variables we provided them, and a story that required the consideration of more information than the simpler ""Share and Share Alike"" story participants generated in the Non-Feedback session. Expanding beyond our context, the story-framing consequences of data selection and presentation are a big design consideration for formative feedback in open-ended learning settings, and thus could benefit from a more formal consideration of narrative and narrative structures and how they could impact data-driven feedback design. For example, different data subsets or visualizations may or may not support different “plot” structures (mysteries, tales of redemption, etc.). HCI researchers have begun codifying narrative design patterns for presenting data in graphical stories [2], and how interactive technology can advance narratives in the form of interactive theater [4, 24, 43]; such work may have useful suggestions for engineering narratives with data-driven feedback. A key feature of narratives is that they are inherently sequential - although a story may be told nonlinearly, or begin in media res, the order in which the components of the narrative are revealed is a major part of how it is received by the audience. This concept resonates with the design tension we uncovered concerning when to deliver data-driven feedback to visitors. In prior work, feedback delivered too early could derail visitor engagement [21], the equivalent of reading the last page of a mystery story first. In another exhibit, despite being given “just-in-time” automated alerts that suggested that the moment was right to deliver content, mediators often found the visitors unreceptive [45], demonstrating that a “teachable moment” may not be the same as a “learnable moment” [23]. If just-in-time feedback can be accessed on-demand, when both needed and desired by learners, it might ultimately be better for supporting learning than retrospective reflection - Schön points out that in contrast to “reflection-on-action,” “reflection-in-action” yields widerranging learning benefits, which more directly improve people’s ability to perform situated tasks [40]. Baumer [5] likens “retrospective reflection” to “slow technology,” adopting the analogy from the distinction between gourmet and fast food. We argue that while some forms of just-in-time feedback may be as “unhealthy” for learning as a carton of fries, the use of a narrative framing to select which data to present, and when, may be the equivalent of “chewing slowly.”
"
Anchored Audio Sampling: A Seamless Method for Exploring Children's Thoughts During Deployment Studies,https://dl.acm.org/doi/10.1145/3290605.3300238,"
Many traditional HCI methods, such as surveys and interviews, are of limited value when working with preschoolers. In this paper, we present anchored audio sampling (AAS), a remote data collection technique for extracting qualitative audio samples during field deployments with young children. AAS offers a developmentally sensitive way of understanding how children make sense of technology and situates their use in the larger context of daily life. AAS is defined by an anchor event, around which audio is collected. A sliding window surrounding this anchor captures both antecedent and ensuing recording, providing the researcher insight into the activities that led up to the event of interest as well as those that followed. We present themes from three deployments that leverage this technique. Based on our experiences using AAS, we have also developed a reusable open-source library for embedding AAS into any Android application. Very young children are avid technology users who deserve to be frst-class citizens in the design of systems and experiences that afect their lives. AAS is a data collection technique for feld deployments that captures audio samples in response to anchor events of interest. This allows researchers to passively capture rich, qualitative feedback about moments of interest and the events that precede them, and to do so at scale with data that comes directly from children. By formalizing the principles of the approach and supporting these with an open-source library, we seek to empower the research community to confront the ethical tensions inherent in this work and to resolve them within the context of their own feld deployments.
"
"To Asymmetry and Beyond!: Improving Social Connectedness by Increasing Designed Interdependence in Cooperative
                                 Play",https://dl.acm.org/doi/10.1145/3290605.3300239,"
Social play can have numerous health benefits but research has shown that not all multiplayer games are effective at promoting social engagement. Asymmetric cooperative games have shown promise in this regard but the design and dynamics of this unique style of play is not yet well understood. To address this, we present the results of two player experience studies using our custom prototype game Beam Me 'Round, Scotty! 2: the first comparing symmetric cooperative play (e.g., where players have the same interface, goals, mechanics, etc.) to asymmetric cooperative play (e.g., where players have differing roles, abilities, interfaces, etc.) and the second comparing the effect of increasing degrees of interdependence between play partners. Our results not only indicate that asymmetric cooperative games may enhance players' perceptions of connectedness, social engagement, immersion, and comfort with a game's controls, but also demonstrate how to further improve these outcomes via deliberate mechanical design changes, such as changes in cooperative action timing and direction of dependence. In this paper, we present the findings of a pair of player experience studies that compared asymmetric play to symmetric play, and within asymmetric play, the degrees of designed interdependence.We found that social presence and perceptions of connectedness were higher in asymmetric play than symmetric play, and higher in tightly-coupled asymmetric play than loosely-coupled asymmetric play. These same trends were also found for immersion, behavioural engagement, and even understanding and comfort with the game’s controls. We also reflect on several themes that emerged, including the need for designers to consider both emergent cooperation vs. designed interdependence as well as whether, how, and when to provide flexibility in the degree of interdependence.

"
"DesignABILITY: Framework for the Design of Accessible Interactive Tools to Support Teaching to Children
                                 with Disabilities",https://dl.acm.org/doi/10.1145/3290605.3300240,"
Developing educational tools aimed at children with disabilities is a challenging process for designers and developers because existing methodologies or frameworks do not provide any pedagogical information and/or do not take into account the particular needs of users with some type of impairment. In this study, we propose a framework for the design of tools to support teaching to children with disabilities. The framework provides the necessary stages for the development of tools (hardware-based or software-based) and must be adapted for a specific disability and educational goal. For this study, the framework was adapted to support literacy teaching and contributes to the design of educational/interactive technology for deaf people while making them part of the design process and taking into account their particular needs. The experts' evaluation of the framework shows that it is well structured and may be adapted for other types of disabilities. The proposed framework makes it easy to break down the activities of every stage and adapt it to other types of disabilities and learning goals/strategies. The adaptation made in this study to support literacy teaching to deaf children shows that the DesignABILITY framework is not a general-purpose framework, instead, it is a modular approach that can be transformed according to the final users’ needs. A first evaluation of the framework is shown in this paper, 26 researchers from different fields (HCI, design, software development) took the survey and the results demonstrate how promising this proposal is for addressing accessibility in the development of educational tools. All the recommendations given by the researchers will be taken into account for the improvement of the framework. For the adaptation of the framework (Deaf+literacy), the “Design for Engaged Learning” stage proposes a storytelling and collaborative learning approach which could support literacy teaching to Deaf children by engaging children into learning through stories, teamwork and technology. The words storytelling and collaboration, when used in the same context, promise to provide social, creative and fun aspects of learning [51]. During the review of the literature on storytelling [13] and collaborative learning (CL) [8] to support literacy teaching, we found that there is a lack of research regarding the use of these two strategies for the education of Deaf children. Fortunately, the results of the studies that made use of any of these strategies on developing reading and writing skills, show the effectiveness of using technology with one or both approaches [10][11][12] [14] [41][52]. Two prototypes are under development following the stages of the DesignABILITY framework adapted for literacy teaching to deaf children. These prototypes will be tested by deaf children in institutions from Colombia and Scotland. The process is being supported by teachers of deaf pupils in both countries with high expectations from educators. The new framework proposed in this study, and its adaptation for literacy, contributes to the design of educational/interactive technology for deaf people while making them part of the design process and taking into account their particular needs. This enables a better application of technology to education and consequently a better learning experience. The adaptation of the framework also gives specific details on how to structure collaborative learning and storytelling activities with/for deaf children during the design of an educational tool, which is not found in current HCI literature. Finally, our proposal suggests principles for experts’ reviews to evaluate CL and also the tool aimed at deaf children (some of these principles are the result of our previous work with deaf children). Specific evaluation methods that can be used with deaf children are suggested to evaluate the UX of the designed tool. For future work, the DesignABILITY framework will be adapted to support teaching to children with other disabilities like blindness, autism or with cognitive impairments.
"
